State,Lat,Long,January,February,March,April,May,June,July,August,September,October,November,December
Alabama,32.7794,-86.8287,2,3,5,12,5,1,1,1,3,3,6,3
Arizona,34.2744,-111.6602,0,0,0,0,1,0,1,1,1,1,0,0
Arkansas,34.8938,-92.4426,4,2,4,8,7,2,1,0,2,2,4,2
California,37.1841,-119.4696,1,2,2,1,1,0,0,1,0,0,1,2
Colorado,38.9972,-105.5478,0,0,0,3,10,17,10,5,1,1,0,0
Connecticut,41.6219,-72.7273,0,0,0,0,0,1,1,0,0,0,0,0
Delaware,38.9896,-75.505,0,0,0,0,0,0,0,0,0,0,0,0
Florida,28.6305,-82.4479,3,3,6,5,3,10,7,7,8,6,3,2
Georgia,32.6415,-83.4426,2,2,5,5,3,2,1,1,2,1,2,2
Idaho,44.3509,-114.613,0,0,0,1,1,1,1,1,0,0,0,0
Illinois ,40.0417,-89.1965,1,1,3,12,15,10,3,2,1,1,2,0
Indiana,39.8942,-86.2816,1,0,1,4,6,5,2,2,1,1,2,0
Iowa,42.0751,-93.496,0,0,2,8,11,15,6,3,2,1,1,0
Kansas,38.4937,-98.3804,0,1,5,13,36,20,7,3,3,3,1,0
Kentucky,37.5347,-85.3021,1,2,2,5,5,3,1,0,0,2,2,0
Louisiana,31.0689,-91.9968,4,2,4,6,4,2,1,1,3,4,5,3
Maine,45.3695,-69.2428,0,0,0,0,0,1,1,0,0,0,0,0
Maryland,39.055,-76.7909,0,0,0,1,1,2,2,1,1,1,1,0
Massachusettes,42.2596,-71.8083,0,0,0,0,0,0,1,0,0,0,0,0
Michigan,44.3467,-85.4102,0,0,1,1,3,4,3,2,1,1,0,0
Minnesota,46.2807,-94.3053,0,0,1,1,6,15,11,5,2,1,0,0
Mississippi,32.7364,-89.6678,4,3,5,9,4,1,1,2,4,3,5,3
Missouri,38.3566,-92.458,1,2,4,7,12,6,2,1,2,2,2,2
Montana,47.0527,-109.6333,0,0,0,0,1,3,3,2,0,0,0,0
Nebraska,41.5378,-99.7951,0,0,1,5,16,20,6,3,1,3,0,0
Nevada,39.3289,-116.6312,0,0,0,0,0,1,0,0,0,0,0,0
New Hampshire,43.6805,-71.5811,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,40.1907,-74.6728,0,0,0,0,0,0,1,0,0,0,0,0
New Mexico,34.4071,-106.1126,0,0,0,1,3,3,1,1,1,1,0,0
New York,42.9538,-75.5268,0,0,0,1,2,2,1,2,1,0,1,0
North Carolina,35.557,-79.3877,1,1,3,4,5,3,3,3,4,2,2,0
North Dakota,47.4501,-100.4659,0,0,0,0,3,12,10,4,0,0,0,0
Ohio,40.2862,-82.7937,0,0,1,2,4,4,4,2,1,1,1,0
Oklahoma,35.5889,-97.4943,0,0,5,14,27,7,1,1,2,3,1,0
Oregon ,43.9336,-120.5583,0,0,0,0,0,0,0,0,1,0,0,0
Pennsylvania,40.8781,-77.7996,0,0,0,2,3,3,4,2,2,0,1,0
Rhode Island,41.6762,-71.5562,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,33.9169,-80.8964,1,1,3,4,3,2,2,2,4,1,2,0
South Dakota,44.4443,-100.2263,0,0,0,0,7,14,6,3,1,1,0,0
Tennessee,35.858,-86.3505,3,2,3,8,6,2,0,0,0,1,3,0
Texas,31.4757,-99.3312,5,3,11,29,43,24,3,4,5,8,7,4
Utah,39.3055,-111.6703,0,0,0,0,1,0,0,1,1,0,0,0
Vermont,44.0687,-72.6658,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,37.5215,-78.8537,0,0,0,3,2,2,2,2,3,1,0,0
Washington,47.3826,-120.4472,0,0,0,0,1,1,0,0,0,0,0,0
West Virginia,38.6409,-80.6227,0,0,0,0,0,1,0,0,0,0,0,0
Wisconsin,44.6243,-89.9941,0,0,0,2,3,8,5,3,2,0,0,0
Wyoming,42.9957,-107.5512,0,0,0,0,4,4,2,1,1,0,0,0
